TSid,dataSetName,iso2kUI,archiveType,pub1_doi,lat,lon,elevation,siteName,minYear,maxYear,variableName,units,description,measurementMaterial,measurementMaterialDetail,climateVariable,climateVariableDetail,seasonality,direction,isotopeInterpretation1_inferredMaterial,isotopeInterpretation1_direction,isotopeInterpretation1_variable,isotopeInterpretation1_seasonality,QC comments,QC Certification,Iso2k primary timeseries for dataset,link to lipdverse,QC notes from Hackathon #2 (and initials),Iso2k QC certification (INITIALS)
CO03COPM03A,CO03COPM,CO03COPM03A,Coral,"10.1038/nature01779, 10.1029/2001GL012918",5.87,-162.13,-7,Palmyra (composite),729.795,800.92,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,,decrease/increase,surface seawater,negative,T_water,,,DMT (1/14/19),FALSE,http://lipdverse.org/iso2k/0_12_0/CO03COPM.html,,DMT (1/14/19)
CO03COPM04C,CO03COPM,CO03COPM04C,Coral,"10.1038/nature01779, 10.1029/2001GL012918",5.87,-162.13,-7,Palmyra (composite),543.51,632.83,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,,decrease/increase,surface seawater,negative,T_water,,,DMT (1/14/19),FALSE,http://lipdverse.org/iso2k/0_12_0/CO03COPM.html,,DMT (1/14/19)
CO03COPM05C,CO03COPM,CO03COPM05C,Coral,"10.1038/nature01779, 10.1029/2001GL012918",5.87,-162.13,-7,Palmyra (composite),486.3046,551.32,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,,decrease/increase,surface seawater,negative,T_water,,,DMT (1/14/19),FALSE,http://lipdverse.org/iso2k/0_12_0/CO03COPM.html,,DMT (1/14/19)
CO03COPM06C,CO03COPM,CO03COPM06C,Coral,"10.1038/nature01779, 10.1029/2001GL012918",5.87,-162.13,-7,Palmyra (composite),501.7382,544.8431,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,,decrease/increase,surface seawater,negative,T_water,,,DMT (1/14/19),FALSE,http://lipdverse.org/iso2k/0_12_0/CO03COPM.html,,DMT (1/14/19)
CO03COPM07C,CO03COPM,CO03COPM07C,Coral,"10.1038/nature01779, 10.1029/2001GL012918",5.87,-162.13,-7,Palmyra (composite),506.7057,538.0738,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,,decrease/increase,surface seawater,negative,T_water,,,DMT (1/14/19),FALSE,http://lipdverse.org/iso2k/0_12_0/CO03COPM.html,,DMT (1/14/19)
CO03COPM11C,CO03COPM,CO03COPM11C,Coral,"10.1038/nature01779, 10.1029/2001GL012918",5.87,-162.13,-7,Palmyra (composite),592.5867,623.35,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,,decrease/increase,surface seawater,negative,T_water,,,DMT (1/14/19),FALSE,http://lipdverse.org/iso2k/0_12_0/CO03COPM.html,,DMT (1/14/19)
CO03COPM08B,CO03COPM,CO03COPM08B,Coral,"10.1038/nature01779, 10.1029/2001GL012918",5.87,-162.13,-7,Palmyra (composite),283.52,314.98,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,,decrease/increase,surface seawater,negative,T_water,,,DMT (1/14/19),FALSE,http://lipdverse.org/iso2k/0_12_0/CO03COPM.html,,DMT (1/14/19)
CO03COPM09B,CO03COPM,CO03COPM09B,Coral,"10.1038/nature01779, 10.1029/2001GL012918",5.87,-162.13,-7,Palmyra (composite),254.28,296.37,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,,decrease/increase,surface seawater,negative,T_water,,,DMT (1/14/19),FALSE,http://lipdverse.org/iso2k/0_12_0/CO03COPM.html,,DMT (1/14/19)
CO03COPM10B,CO03COPM,CO03COPM10B,Coral,"10.1038/nature01779, 10.1029/2001GL012918",5.87,-162.13,-7,Palmyra (composite),246.56,285.04,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,,decrease/increase,surface seawater,negative,T_water,,,DMT (1/14/19),FALSE,http://lipdverse.org/iso2k/0_12_0/CO03COPM.html,,DMT (1/14/19)
CO03COPM01A,CO03COPM,CO03COPM01A,Coral,"10.1038/nature01779, 10.1029/2001GL012918",5.87,-162.13,-7,Palmyra (composite),-48.4,63.92,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,,decrease/increase,surface seawater,negative,T_water,,,DMT (1/14/19),FALSE,http://lipdverse.org/iso2k/0_12_0/CO03COPM.html,,DMT (1/14/19)
CO04BAFI01A,CO04BAFI,CO04BAFI01A,Coral,10.1029/2003PA000935,-16.8167,179.2333,-2,"Savusavu Bay, Fiji",-47.11,9.46,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,,,surface seawater,negative,T_water,,Diploastrea heliopora specie; test regarding Diploasrea sampling strategy over the first 50 mm,DMT (1/14/19),FALSE,http://lipdverse.org/iso2k/0_12_0/CO04BAFI.html,,DMT (1/14/19)
CO04BAFI02A,CO04BAFI,CO04BAFI02A,Coral,10.1029/2003PA000935,-16.8167,179.2333,-2,"Savusavu Bay, Fiji",-51.96,10.08,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,,,surface seawater,negative,T_water,,Diploastrea heliopora specie,DMT (1/14/19),FALSE,http://lipdverse.org/iso2k/0_12_0/CO04BAFI.html,,DMT (1/14/19)
CO04BAFI00A,CO04BAFI,CO04BAFI00A,Coral,10.1029/2003PA000935,-16.8167,179.2333,-2,"Savusavu Bay, Fiji",-50,10,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,,,surface seawater,negative,T_water,,Composite of CO04BAFI01A and CO04BAFI02A,DMT (1/14/19),TRUE,http://lipdverse.org/iso2k/0_12_0/CO04BAFI.html,,DMT (1/14/19)
CO04INMI01A,CO04INMI,CO04INMI01A,Coral,10.1016/j.envpol.2003.11.009,6.97,158.22,,Pohnpei,Inf,-Inf,d18O,permil,carbonate,coral,aragonite,T,sea surface,,decrease,surface seawater,negative,T_water,,No ages.,DMT (1/14/19),FALSE,http://lipdverse.org/iso2k/0_12_0/CO04INMI.html,,DMT (1/14/19)
Ocean2kHR_174,CO04KIVA,CO04KIVA01A,Coral,10.1029/2004PA001033,-15.7,167.2,-1.5,"Malo Channel, Espiritu Santo Island, Vanuatu",-42.46,21.46,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,not applicable (subannually resolved),decrease/increase,surface seawater,negative,T_water,,"Kilbourne et al., 2004, and Kilbourne et al., 2004, (10.1029/2004PA001033, 10.1029/2003PA000944) both report on the same data.","DMT (1/14/19) KJA, NJA",TRUE,http://lipdverse.org/iso2k/0_12_0/CO04KIVA.html,,DMT (1/14/19)
Ocean2kHR_175,CO04KIVA,CO04KIVA01AT1,Coral,10.1029/2004PA001033,-15.7,167.2,-1.5,"Malo Channel, Espiritu Santo Island, Vanuatu",-42.46,21.46,Sr/Ca,mmol/mol,carbonate,coral,aragonite,T,sea@surface,not applicable (subannually resolved),negative,surface seawater,,,,,"DMT (1/14/19) KJA, NJA",FALSE,http://lipdverse.org/iso2k/0_12_0/CO04KIVA.html,,DMT (1/14/19)
Ocean2kHR_176,CO04KIVA,,Coral,10.1029/2004PA001033,-15.7,167.2,-1.5,"Malo Channel, Espiritu Santo Island, Vanuatu",-42.46,21.46,d13C,permil,carbonate,coral,aragonite,,,,,surface seawater,,,,d13C: not SST sensitive,DMT (1/14/19),FALSE,http://lipdverse.org/iso2k/0_12_0/CO04KIVA.html,,DMT (1/14/19)
Ocean2kHR_157,CO04LIFI,CO04LIFI01A,Coral,10.1007/s00382-003-0364-y,-16.8167,179.2333,-10,Savusavu Bay,-46.5,168.5,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,not applicable (subannually resolved),decrease,surface seawater,negative,T_water,,"used in Tierney et al, as a composite with HR_156; the original records are provided here rather than composites","DMT (1/14/19) MNE, NJA",TRUE,http://lipdverse.org/iso2k/0_12_0/CO04LIFI.html,,DMT (1/14/19)
Ocean2kHR_158,CO04LIFI,CO04LIFI01AT1,Coral,10.1007/s00382-003-0364-y,-16.8167,179.2333,-10,Savusavu Bay,-46.5,168.5,Sr/Ca,mmol/mol,carbonate,coral,aragonite,T,sea@surface,not applicable (subannually resolved),decrease,surface seawater,,,,,"DMT (1/14/19) MNE, NJA",FALSE,http://lipdverse.org/iso2k/0_12_0/CO04LIFI.html,,DMT (1/14/19)
CO04LIRA01A,CO04LIRA,CO04LIRA01A,Coral,10.1007/s00382-003-0364-y,-21.2378,-159.8278,,"Rarotonga, Cook Islands, South Pacific",-46.91,223.22,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,,,surface seawater,negative,T_water,,"Combined influenced of SST and SSS on the d18O signal - with SST leading seasoanl variability and SSS interannual and decadal varaibility (Linsley et al., 2006)",DMT (1/14/19),TRUE,http://lipdverse.org/iso2k/0_12_0/CO04LIRA.html,,DMT (1/14/19)
CO04LIRA02A,CO04LIRA,CO04LIRA02A,Coral,10.1007/s00382-003-0364-y,-21.2378,-159.8278,,"Rarotonga, Cook Islands, South Pacific",-50.18,75.32,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,,,surface seawater,negative,T_water,,"Combined influenced of SST and SSS on the d18O signal - with SST leading seasoanl variability and SSS interannual and decadal varaibility (Linsley et al., 2006)",DMT (1/14/19),FALSE,http://lipdverse.org/iso2k/0_12_0/CO04LIRA.html,,DMT (1/14/19)
CO04LIRA03A,CO04LIRA,CO04LIRA03A,Coral,10.1007/s00382-003-0364-y,-21.2378,-159.8278,,"Rarotonga, Cook Islands, South Pacific",-49.75,43.12,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,,,surface seawater,negative,T_water,,"Combined influenced of SST and SSS on the d18O signal - with SST leading seasoanl variability and SSS interannual and decadal varaibility (Linsley et al., 2006)",DMT (1/14/19),FALSE,http://lipdverse.org/iso2k/0_12_0/CO04LIRA.html,,DMT (1/14/19)
CO04MGNG01A,CO04MGNG,CO04MGNG01A,Coral,10.1029/2004GL019972,-3.6206,143.6819,,Papua New Guinea,-47,40,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,,decrease/increase,surface seawater,negative,T_water,,,DMT (1/14/19),TRUE,http://lipdverse.org/iso2k/0_12_0/CO04MGNG.html,,DMT (1/14/19)
CO04PFCH02A,CO04PFCH,CO04PFCH02A,Coral,10.1016/j.yqres.2004.02.009,-5.43,71.77,,Peros Banhos Atoll,-45.625,-11.125,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,,decrease/increase,surface seawater,negative,T_water,,,DMT (1/14/19),TRUE,http://lipdverse.org/iso2k/0_12_0/CO04PFCH.html,,DMT (1/14/19)
CO04PFCH01A,CO04PFCH,CO04PFCH01A,Coral,10.1016/j.yqres.2004.02.009,-5.43,71.77,,Peros Banhos Atoll,-45.625,-11.125,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,,,,decrease,,,,,DUPLICATE,http://lipdverse.org/iso2k/0_12_0/CO04PFCH.html,,
Ocean2kHR_013,CO04PFRE,CO04PFRE01A,Coral,10.1029/2003PA000964,-21.0333,55.25,-12.3,"La Reunion, Southwestern Indian Ocean",-45.67,118,d18O,perrmil,carbonate,coral,aragonite,T,sea@surface,not applicable (subannually resolved),decrease,surface seawater,negative,T_water,,"d18Osw is probably the primary control on d18O of the coral at this site; authors found positive relation btwn 18O and temperature, opposite the expected","DMT (1/14/19) JZ, NJA",TRUE,http://lipdverse.org/iso2k/0_12_0/CO04PFRE.html,,DMT (1/14/19)
Ocean2kHR_020,CO04ZIMG,CO04ZIMG01A,Coral,"10.1016/j.epsl.2004.09.028, 10.1038/srep04393",-23.15,43.58,-1.1,"Ifaty Reef, SW Madagascar",-45.625,290.375,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,not applicable (subannually resolved),decrease/increase,surface seawater,negative,T_water,,,DMT (1/14/19),TRUE,http://lipdverse.org/iso2k/0_12_0/CO04ZIMG.html,,DMT (1/14/19)
Ocean2kHR_166,CO05ASGU,CO05ASGU01A,Coral,10.1029/2004JC002555,13.598,144.836,-7.8,Guam Coral,-50.21,159.96,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,not applicable (subannually resolved),decrease/increase,surface seawater,negative,T_water,,,"DMT (1/14/19) KJA, NJA",TRUE,http://lipdverse.org/iso2k/0_12_0/CO05ASGU.html,,DMT (1/14/19)
Ocean2kHR_142,CO05BAFI,CO05BAFI00A,Coral,10.1029/2004GC000879,-16.8167,179.2333,-2,"Savusavu Bay, Fiji",-51,174,d18O,permil,carbonate,coral,aragonite,T,sea@surface,1 2 3 4 5 6 7 8 9 10 11 12,decrease,surface seawater,negative,T_water,,Composite of CO04BAFI00A and the rest of the 4F1 record - 2 diploastra records,"DMT (1/14/19) KLD, NJA",TRUE,http://lipdverse.org/iso2k/0_12_0/CO05BAFI.html,,DMT (1/14/19)
Ocean2kHR_105,CO05KUBE,CO05KUBE01A,Coral,10.1029/2004GC000786,32.467,-64.7,-12,"North East Breakers, Bermuda",-33.21,124.79,d18O,permil,carbonate,coral,aragonite,T,sea@surface,not applicable (subannually resolved),decrease,surface seawater,negative,T_water,,,"DMT (1/14/19) KHK, NJA",TRUE,http://lipdverse.org/iso2k/0_12_0/CO05KUBE.html,"Missing ""isotope interpretation1,2,3"" fields. -BK DMT: Resolved 1/14",DMT (1/14/19)
Ocean2kHR_106,CO05KUBE,CO05KUBE01AT1,Coral,10.1029/2004GC000786,32.467,-64.7,-12,"North East Breakers, Bermuda",-33.21,82.79,Sr/Ca,mmol/mol,carbonate,coral,aragonite,T,sea@surface,not applicable (subannually resolved),decrease,surface seawater,,,,,"DMT (1/14/19) KHK, NJA",FALSE,http://lipdverse.org/iso2k/0_12_0/CO05KUBE.html,,DMT (1/14/19)
Ocean2kHR_007,CO06DATZ,CO06DATZ01A,Coral,10.1029/2005PA001217,-8.0167,39.5,-6,"Mafia Archipelago, Tanzania",-48.125,328,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,not applicable (subannually resolved),decrease/increase,surface seawater,negative,T_water,,Note: floating fossil coral sections have greater uncertainty in absolute temperature for palaeoclimate reconstructions (NJA),"DMT (1/14/19) JZ, JT, NJA",TRUE,http://lipdverse.org/iso2k/0_12_0/CO06DATZ.html,,DMT (1/14/19)
Ocean2kHR_156,CO06LIFI,CO06LIFI01A,Coral,10.1029/2005GC001115,-16.8167,179.2333,-10,"Savusavu Bay, Fiji",-51.5,332.5,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,not applicable (subannually resolved),decrease,surface seawater,negative,T_water,,"used in Tierney et al, as a composite with HR_157; the original records are provided here rather than composites","DMT (1/14/19) MNE, NJA",TRUE,http://lipdverse.org/iso2k/0_12_0/CO06LIFI.html,,DMT (1/14/19)
Ocean2kHR_107,CO06MOPE,CO06MOPE01A,Coral,10.1029/2005PA001257,16.75,-22.8883,-5,"Pedra de Lume, Cape Verde Islands",-52.21,21.04,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,not applicable (subannually resolved),decrease,surface seawater,positive,Salinity_water,,Siderastrea radians specie,"DMT (1/14/19) KHK, NJA",TRUE,http://lipdverse.org/iso2k/0_12_0/CO06MOPE.html,,DMT (1/14/19)
Ocean2kHR_108,CO06MOTO,CO06MOTO01A,Coral,NaN,11.17,-60.85,-2,"Buccoo Reef, Tobago",-40,23,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,1 2 3 4 5 6 7 8 9 10 11 12,decrease/increase,surface seawater,negative,T_water,,,"DMT (1/14/19) KHK, NJA",FALSE,http://lipdverse.org/iso2k/0_12_0/CO06MOTO.html,,DMT (1/14/19)
Ocean2kHR_109,CO06MOTO,,Coral,NaN,11.17,-60.85,-2,"Buccoo Reef, Tobago",-40,23,d13C,permil,carbonate,coral,,,,,,surface seawater,,,,d13C: not SST sensitive,DMT (1/14/19) KHK,FALSE,http://lipdverse.org/iso2k/0_12_0/CO06MOTO.html,,DMT (1/14/19)
Ocean2kHR_110,CO06MOTO,CO06MOTO02A,Coral,NaN,11.17,-60.85,-2,"Buccoo Reef, Tobago",-40,18,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,1 2 3 4 5 6 7 8 9 10 11 12,decrease/increase,surface seawater,negative,T_water,,,"DMT (1/14/19) KHK, NJA",TRUE,http://lipdverse.org/iso2k/0_12_0/CO06MOTO.html,,DMT (1/14/19)
Ocean2kHR_111,CO06MOTO,,Coral,NaN,11.17,-60.85,-2,"Buccoo Reef, Tobago",-39,18,d13C,permil,carbonate,coral,,,,,,surface seawater,,,,d13C: not SST sensitive,DMT (1/14/19) KHK,FALSE,http://lipdverse.org/iso2k/0_12_0/CO06MOTO.html,,DMT (1/14/19)
Ocean2kHR_144,CO06QUNG,CO06QUNG01A,Coral,10.1029/2005JC003243,-4.1916,151.9772,-8,Rabaul,-47.54,82.62,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,not applicable (subannually resolved),decrease/increase,surface seawater,negative,T_water,,,"DMT (1/14/19) MNE, NJA",TRUE,http://lipdverse.org/iso2k/0_12_0/CO06QUNG.html,,DMT (1/14/19)
Ocean2kHR_145,CO06QUNG,CO06QUNG01AT1,Coral,10.1029/2005JC003243,-4.1916,151.9772,-8,Rabaul,-47.54,82.62,Sr/Ca,mmol/mol,carbonate,coral,aragonite,T,sea@surface,not applicable (subannually resolved),decrease,surface seawater,,,,,"DMT (1/14/19) MNE, NJA",FALSE,http://lipdverse.org/iso2k/0_12_0/CO06QUNG.html,,DMT (1/14/19)
Ocean2kHR_146,CO06QUNG,,Coral,10.1029/2005JC003243,-4.1916,151.9772,-8,Rabaul,-47.54,82.62,d13C,permil,carbonate,coral,,,,,,surface seawater,,,,d13C: not SST sensitive,DMT (1/14/19),FALSE,http://lipdverse.org/iso2k/0_12_0/CO06QUNG.html,,DMT (1/14/19)
Ocean2kHR_193,CO07CAFR,CO07CAFR01A,Coral,10.1016/j.palaeo.2006.12.003,-17.73,148.43,-5,Coral Sea,-38,242,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,,decrease/increase,surface seawater,negative,T_water,,annually banded record; multi-annual resolution,DMT (1/14/19) NJA,TRUE,http://lipdverse.org/iso2k/0_12_0/CO07CAFR.html,,DMT (1/14/19)
Ocean2kHR_194,CO07CAFR,CO07CAFR01AT1,Coral,10.1016/j.palaeo.2006.12.003,-17.73,148.43,-5,Coral Sea,-38,242,Sr/Ca,mmol/mol,carbonate,coral,aragonite,T,sea@surface,,decrease,surface seawater,,,,annually banded record; multi-annual resolution,DMT (1/14/19) NJA,FALSE,http://lipdverse.org/iso2k/0_12_0/CO07CAFR.html,,DMT (1/14/19)
Ocean2kHR_010,CO08ABSU,CO08ABSU01A,Coral,10.1038/ngeo357,-0.13,98.52,-6,"Mantawai Islands, West Sumatra, Indonesia",-47.96,91.71,d18O,permil,carbonate,coral,aragonite,temperature and salinity,sea surface,not applicable (subannually resolved),decrease/increase,surface seawater,negative,T_water,,,DMT (1/14/19) NJA,TRUE,http://lipdverse.org/iso2k/0_12_0/CO08ABSU.html,,DMT (1/14/19)
Ocean2kHR_094,CO08GOBE,CO08GOBE01A,Coral,10.1038/ngeo352,30.6486,-64.9888,-16,Bermuda south shore,-48,168,d18O,permil,carbonate,coral,aragonite,T,sea surface,not applicable (subannually resolved),decrease,surface seawater,negative,T_water,,,"DMT (1/14/19) KHK, NJA",TRUE,http://lipdverse.org/iso2k/0_12_0/CO08GOBE.html,,DMT (1/14/19)
Ocean2kHR_095,CO08GOBE,CO08GOBE01AT1,Coral,10.1038/ngeo352,30.6486,-64.9888,-16,Bermuda south shore,-48,169,Sr/Ca,mmol/mol,carbonate,coral,aragonite,T,sea@surface,not applicable (subannually resolved),decrease,surface seawater,,,,,"DMT (1/14/19) KHK, NJA",FALSE,http://lipdverse.org/iso2k/0_12_0/CO08GOBE.html,,DMT (1/14/19)
Ocean2kHR_096,CO08HEVE,CO08HEVE01A,Coral,10.1130/G24321A.1,11.77,-66.75,-2,"Cayo Sal, Los Roques Archipelago, Venezuela",-54.79,32.21,d18O,permil,carbonate,coral,aragonite,temperature and precipitation,sea surface,not applicable (subannually resolved),decrease,surface seawater,negative,T_water,,,"DMT (1/14/19) KHK, NJA",TRUE,http://lipdverse.org/iso2k/0_12_0/CO08HEVE.html,,DMT (1/14/19)
